# Obs_Time (BJD),RV (km/s),RV_err (km/s),Obs_Start (BJD),Obs_End (BJD)
2460003.60959961,12.3815,0.015,2460003.6035538907,2460003.615125082
2460003.62125886,12.3915,0.0134,2460003.615445469,2460003.6270193793
2460003.63307881,12.3996,0.0127,2460003.627339755,2460003.638913665
2460003.6449758997,12.4062,0.0127,2460003.63923404,2460003.65080795
2460003.65681783,12.405999999999999,0.0119,2460003.651128326,2460003.662702235
2460003.6689551002,12.4057,0.0119,2460003.663022611,2460003.67459652
2460003.68062946,12.4101,0.012,2460003.674916896,2460003.686490805
2460003.69181841,12.3969,0.0147,2460003.686811191,2460003.698385101
2460003.70450467,12.395999999999999,0.0121,2460003.6987054767,2460003.710279385
2460003.71621204,12.3847,0.0119,2460003.710599761,2460003.722173668
2460003.72810181,12.3814,0.0122,2460003.722494044,2460003.734067952
2460003.74043645,12.3817,0.0119,2460003.73438834,2460003.745962236
2460003.7517674,12.3932,0.012,2460003.746282612,2460003.757856519
2460003.76423104,12.3858,0.0117,2460003.758176918,2460003.769750813
2460003.7760276003,12.3923,0.0107,2460003.770071189,2460003.781645096
2460003.78701589,12.3919,0.0111,2460003.781965472,2460003.7935393783
2460003.7998781004,12.4048,0.0131,2460003.793859754,2460003.8054336607
2460003.81167019,12.4095,0.0117,2460003.8057540357,2460003.817327943
2460003.82526088,12.3903,0.0118,2460003.8194488967,2460003.831020118
2460003.83704154,12.3958,0.0129,2460003.831340493,2460003.842914411
2460003.84328771,12.046,0.0429,2460003.843234775,2460003.843334842
