# Obs_Time [BJD],RV [km/s],RV_err [km/s],Obs_Start [BJD],Obs_End [BJD]
2459679.9013104,-9.5387,0.0078,2459679.899890514,2459679.90266612
2460050.63210045,-9.4811,0.0047,2460050.625587528,2460050.640052136
2460050.67726265,-9.4953,0.006,2460050.669315088,2460050.683778931
2460050.71518088,-9.5391,0.0047,2460050.707763497,2460050.722225789
2460050.73004462,-9.5602,0.004,2460050.7225461467,2460050.7370126983
2460050.74433693,-9.5675,0.0039,2460050.737333056,2460050.7517996416
2460050.75941186,-9.5776,0.0039,2460050.752119988,2460050.766586515
2460050.77384126,-9.5714,0.0036,2460050.766906885,2460050.781373435
2460050.78882472,-9.5399,0.0037,2460050.781693794,2460050.796160344
2460050.80360382,-9.5372,0.0038,2460050.796480714,2460050.810947252
2460050.81844784,-9.536,0.0038,2460050.811267611,2460050.825734172
2460050.83300653,-9.53,0.004,2460050.82605453,2460050.840521079
2460050.84781572,-9.5317,0.0041,2460050.840841438,2460050.855307987
2460050.86282261,-9.536,0.0042,2460050.855628357,2460050.870094906
2460050.8891455,-9.5316,0.0045,2460050.881810674,2460050.8962750933
