# Obs_Time [BJD],RV [km/s],RV_err [km/s],Obs_Start [BJD],Obs_End [BJD]
2459677.9051759997,-9.5114,0.016,2459677.903769339,2459677.906545652
2459678.8767158,-9.5242,0.0077,2459678.875315676,2459678.878091286
2459685.6252047997,-9.5194,0.0093,2459685.623990179,2459685.626764975
2459714.6965226,-9.5315,0.0064,2459714.69512134,2459714.697896495
2460041.8472284,-9.5669,0.006,2460041.845489515,2460041.848959986
2460048.8240441,-9.5207,0.0102,2460048.822407887,2460048.825877935
2460061.726919,-9.6404,0.006,2460061.725178991,2460061.728649008
2460066.7370038996,-9.5746,0.0089,2460066.735326298,2460066.738796205
2460072.8122061,-9.5599,0.0081,2460072.810409262,2460072.81387886
2460094.7267914,-9.5439,0.0109,2460094.725097953,2460094.728567949
2460100.7313552,-9.5993,0.0099,2460100.729587492,2460100.733057494
2460107.7090863,-9.589,0.0101,2460107.707046935,2460107.710516749
2460305.9581991,-9.5699,0.0096,2460305.956473645,2460305.959944198
